diagnosis_year,tau_months,rmst_difference,ci_low,ci_high
2013,36,2.007260498687643,0.2853193194600738,3.8834223788432736
2013,60,3.8238357705286674,-0.006772169103854239,6.943614893841386
2014,36,4.4233205985354935,1.92960028234386,6.706150496824683
2014,60,6.617505655255595,2.9619112962683785,9.651168560130035
2015,36,1.6094383561643717,-0.6660726817702827,3.81378011942394
2015,60,2.0992236789439502,-1.1546736267917788,5.300050895679681
2016,36,2.9929959239130284,0.3159111469655977,5.526076539855074
2016,60,5.232770400061803,0.8124431105864889,9.492560792695892
2017,36,0.3298741637463998,-2.126416427737071,3.036223292980783
2017,60,1.0675080308429408,-3.3976271607015764,5.527704390657835
2018,36,2.4652834572490683,0.03655892603323921,5.5490547712114555
2018,60,4.282143603405224,0.4149386195132744,8.507624687620824
2019,36,4.226486638751897,1.2532782887559515,7.05651122175825
2019,60,9.149785104651407,4.962991137283904,13.491071952557654
2020,36,4.31484293980979,1.3605383761107326,7.585939404415067
2020,60,9.256239571582785,4.717507130555211,14.0700094657758
2021,36,4.645721379470864,0.6539571413312647,8.687655686200944
2021,60,6.235222931276496,-1.7694706510366116,13.474067759975767
