label,HR,CI_low,CI_high,P_value
2013,0.8113279400291457,0.6838134124278051,0.9626208177679365,0.01654413999023774
2014,0.7045838588853349,0.5799710550074121,0.8559710177181256,0.00042166188479253464
2015,0.900548286702099,0.7506982314500438,1.0803105465102647,0.2592807369801944
2016,0.765827362056072,0.6186981087212838,0.9479446279315678,0.014240356555390576
2017,0.9221337351842014,0.7371862615157511,1.1534813790701637,0.4778311179391981
2018,0.7271245898900716,0.5835802687049209,0.90597677401965,0.004510863275256405
2019,0.6626509681608249,0.5022636947322703,0.8742545205035026,0.0036090692172972005
2020,0.6263657704589997,0.46480213697513145,0.8440883704966432,0.0021148306518958826
2021,0.6547244403548769,0.43406136063537126,0.9875656570088058,0.0434181269098326
Overall,0.7444478186012913,0.6931048815623316,0.7995940720702904,4.440892098500626e-16
Treatment × year,0.9858630822015912,0.9553374137200177,1.0173641300861533,0.37495285271143963
