diagnosis_year,mean,count,CIT_percent,CT_percent
2013,0.5694915254237288,590,56.949152542372886,43.050847457627114
2014,0.6711538461538461,520,67.11538461538461,32.88461538461539
2015,0.6919431279620853,633,69.19431279620854,30.805687203791464
2016,0.735632183908046,522,73.5632183908046,26.436781609195407
2017,0.7724867724867724,567,77.24867724867724,22.75132275132276
2018,0.798219584569733,674,79.82195845697329,20.17804154302671
2019,0.8635607321131448,601,86.35607321131448,13.64392678868552
2020,0.8539741219963032,541,85.39741219963032,14.602587800369676
2021,0.9235569422776911,641,92.35569422776912,7.644305772230879
